"ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry","CustomerID","Customers_CompanyName","Address","City","Region","PostalCode","Country","Salesperson","OrderID","OrderDate","RequiredDate","ShippedDate","Shippers_CompanyName","ProductID","ProductName","UnitPrice","Quantity","Discount","ExtendedPrice","Freight"
"食料品店ふじ","浜北市於呂 3482-XX","浜北市",,"434-0015","静岡県","29","食料品店ふじ","粕屋郡志免町御手洗 51-X","粕屋郡",,"811-2206","福岡県","木下 和明",10479,1995/4/19,1995/5/17,1995/4/5,"ペンギン",1,"果汁100% オレンジ",250,50,0.00,12500,709
"葉薄ふぁん","吹田市竹見台 2-X","吹田市",,"565-0863","大阪府","18","葉薄ふぁん","習志野市津田沼 2-6-XX","習志野市",,"275-0016","千葉県","東海 誠一",10503,1995/5/12,1995/6/9,1995/5/1,"トマト",1,"果汁100% オレンジ",250,40,0.00,10000,17
"東海道スーパー","習志野市津田沼 2-6-XX","習志野市",,"275-0016","千葉県","10","東海道スーパー","那覇市繁多川 1-21-XX","那覇市",,"902-0071","沖縄県","古田 哲也",10513,1995/5/23,1995/7/4,1995/5/12,"アカネコ",1,"果汁100% オレンジ",198,50,0.00,9900,106
"海鮮料理くじら","津市一身田中野 19-X","津市",,"514-0112","三重県","4","海鮮料理くじら","成田市加良部 5-3-X","千葉県",,"286-0036","千葉県","高橋 真紀",10538,1995/6/15,1995/7/13,1995/6/23,"ペンギン",1,"果汁100% オレンジ",0,1,0.00,0,5
"洋風居酒屋けい・えっくす","鹿児島市宇宿町 2655-XX","鹿児島市","宇宿町","890-0074","鹿児島県","27","洋風居酒屋けい・えっくす","伊丹市池尻 5-XX","伊丹市",,"664-0027","兵庫県","高橋 真紀",10255,1994/8/12,1994/9/9,1994/8/15,"ペンギン",2,"果汁100% グレープ",15,20,0.00,304,148
"イルカランド","大田区萩中 2-4-X","大田区",,"144-0047","東京都","37","イルカランド","成田市台方 XXX","成田市",,"286-0003","千葉県","正門 恵子",10258,1994/8/17,1994/9/14,1994/8/23,"アカネコ",2,"果汁100% グレープ",15,50,0.20,608,141
"酒蔵でん","板野郡藍住町住吉 5-XXX","板野郡","住吉","771-1264","徳島県","6","酒蔵でん","志木市幸町 1-8-40-XXXX","志木市",,"353-0005","埼玉県","東海 誠一",10264,1994/8/24,1994/9/21,1994/9/23,"ペンギン",2,"果汁100% グレープ",15,35,0.00,532,4
"惣菜びみ","西春日井郡豊山町豊場新田 17-X","西春日井","豊山町","480-0202","愛知県","24","惣菜びみ","仙台市太白区人来田 3-15-XX","仙台市","太白区","982-0222","宮城県","東海 誠一",10274,1994/9/6,1994/10/4,1994/9/16,"アカネコ",2,"果汁100% グレープ",250,500,0.00,125000,6
"宮株式会社","仙台市宮城野区古宮 4-X","仙台市",,"983-0000","宮城県","16","宮株式会社","吾妻郡草津町 462-XX","吾妻郡","豆島","377-1700","群馬県","木下 和明",10283,1994/9/16,1994/10/14,1994/9/21,"ペンギン",2,"果汁100% グレープ",500,1,0.00,500,85
"名店はかたっこ","朝倉郡夜須町篠隈 225-XX","朝倉郡",,"838-0215","福岡県","21","名店はかたっこ","札幌市豊平区中の島一条2丁目 4-XX","札幌市",,"062-0921","北海道","明山 典央",10372,1995/1/4,1995/2/1,1995/1/2,"トマト",2,"果汁100% グレープ",250,155,0.00,38750,891
"酒蔵でん","板野郡藍住町住吉 5-XXX","板野郡",,"771-1264","徳島県","6","酒蔵でん","志木市幸町 1-8-40-XXXX","志木市",,"353-0005","埼玉県","高橋 真紀",10387,1995/1/18,1995/2/15,1995/1/13,"トマト",2,"果汁100% グレープ",100,1,0.00,100,94
"大和マーケット","長野市大豆島 1798-X","長野市","大豆島","381-0022","長野県","9","大和マーケット","横浜市中区千代崎町1-3-5","横浜市","中区","231-0864","神奈川県","松沢 彩子",10435,1995/3/7,1995/4/18,1995/2/27,"トマト",2,"果汁100% グレープ",250,500,0.00,125000,9
"甘味喫茶ダイ","逗子市山の根 3-15-XX","逗子市",,"249-0002","神奈川県","43","甘味喫茶ダイ","草加市吉町 3-4-X","草加市",,"340-0017","埼玉県","木下 和明",10442,1995/3/14,1995/4/11,1995/3/6,"トマト",2,"果汁100% グレープ",500,1,0.00,500,48
"食料品店ふじ","浜北市於呂 3482-XX","浜北市",,"434-0015","静岡県","29","食料品店ふじ","粕屋郡志免町御手洗 51-X","粕屋郡",,"811-2206","福岡県","木下 和明",10479,1995/4/19,1995/5/17,1995/4/5,"ペンギン",2,"果汁100% グレープ",250,50,0.00,12500,709
"大和マーケット","長野市大豆島 1798-X","長野市",,"381-0022","長野県","9","大和マーケット","横浜市中区千代崎町1-3-5","横浜市","中区","231-0864","神奈川県","木下 和明",10492,1995/5/2,1995/5/30,1995/4/21,"アカネコ",2,"果汁100% グレープ",100,1,0.00,100,63
"葉薄ふぁん","吹田市竹見台 2-X","吹田市",,"565-0863","大阪府","18","葉薄ふぁん","習志野市津田沼 2-6-XX","習志野市",,"275-0016","千葉県","東海 誠一",10503,1995/5/12,1995/6/9,1995/5/1,"トマト",2,"果汁100% グレープ",250,40,0.00,10000,17
"小町ストアー","大館市釈迦内字館 30-XX","大館市",,"017-0012","秋田県","11","小町ストアー","富山市朝菜町 2-702-XX","富山市",,"939-8066","富山県","正門 恵子",10508,1995/5/17,1995/6/14,1995/5/4,"トマト",2,"果汁100% グレープ",110,1,0.00,110,5
"東海道スーパー","習志野市津田沼 2-6-XX","習志野市",,"275-0016","千葉県","10","東海道スーパー","那覇市繁多川 1-21-XX","那覇市",,"902-0071","沖縄県","古田 哲也",10513,1995/5/23,1995/7/4,1995/5/12,"アカネコ",2,"果汁100% グレープ",198,50,0.00,9900,106
"惣菜びみ","西春日井郡豊山町豊場新田 17-X","西春日井","豊山町","480-0202","愛知県","24","惣菜びみ","仙台市太白区人来田 3-15-XX","仙台市","太白区","982-0222","宮城県","東海 誠一",10274,1994/9/6,1994/10/4,1994/9/16,"アカネコ",3,"果汁100% レモン",250,500,0.00,125000,6
"月野株式会社","仙台市太白区人来田 3-15-XX","仙台市",,"982-0222","宮城県","17","月野株式会社","長野市大豆島 1798-X","長野市",,"381-0022","長野県","田中 秀樹",10299,1994/10/7,1994/11/4,1994/10/11,"トマト",3,"果汁100% レモン",500,1,0.00,500,30
"札幌フード","札幌市手稲区前田 4-9-3-XX","札幌市",,"006-0814","北海道","13","札幌フード","京都市西京区山田平尾町 73-X","京都府",,"615-8256","京都府","正門 恵子",10311,1994/10/21,1994/11/4,1994/10/25,"ペンギン",3,"果汁100% レモン",150,1,0.00,150,25
"洋食ちくさ","名古屋市瑞穂区中根町 5-4-X","名古屋市",,"467-0055","愛知県","25","洋食ちくさ","吹田市竹見台 2-X","吹田市",,"565-0863","大阪府","松沢 彩子",10408,1995/2/8,1995/3/8,1995/2/16,"アカネコ",3,"果汁100% レモン",250,50,0.00,12500,11
"食料品店ふじ","浜北市於呂 3482-XX","浜北市",,"434-0015","静岡県","29","食料品店ふじ","粕屋郡志免町御手洗 51-X","粕屋郡",,"811-2206","福岡県","木下 和明",10479,1995/4/19,1995/5/17,1995/4/5,"ペンギン",3,"果汁100% レモン",250,50,0.00,12500,709
"東海道スーパー","習志野市津田沼 2-6-XX","習志野市",,"275-0016","千葉県","10","東海道スーパー","那覇市繁多川 1-21-XX","那覇市",,"902-0071","沖縄県","古田 哲也",10513,1995/5/23,1995/7/4,1995/5/12,"アカネコ",3,"果汁100% レモン",198,50,0.00,9900,106
"海鮮料理くじら","津市一身田中野 19-X","津市",,"514-0112","三重県","4","海鮮料理くじら","成田市加良部 5-3-X","千葉県",,"286-0036","千葉県","高橋 真紀",10538,1995/6/15,1995/7/13,1995/6/23,"ペンギン",3,"果汁100% レモン",450,1,0.00,450,5
"寿ストアー","成田市台方 XXX","成田市","台方","286-0003","東京都","7","寿ストアー","練馬区東大泉 1-26-31-XXX","練馬区","大泉","178-0063","東京都","正門 恵子",10542,1995/6/20,1995/7/18,1995/6/1,"ペンギン",3,"果汁100% レモン",140,1,0.00,140,11
"惣菜びみ","西春日井郡豊山町豊場新田 17-X","西春日井","豊山町","480-0202","愛知県","24","惣菜びみ","仙台市太白区人来田 3-15-XX","仙台市","太白区","982-0222","宮城県","東海 誠一",10274,1994/9/6,1994/10/4,1994/9/16,"アカネコ",4,"果汁100% ピーチ",250,500,0.00,125000,6
"小町ストアー","大館市釈迦内字館 30-XX","大館市",,"017-0012","秋田県","11","小町ストアー","富山市朝菜町 2-702-XX","富山市",,"939-8066","富山県","東海 誠一",10317,1994/10/31,1994/11/28,1994/11/4,"アカネコ",4,"果汁100% ピーチ",240,100,0.00,24000,13
"コーヒーハウスフェンス","君津市袖ケ浦町野里 1539-X","君津市",,"299-1100","千葉県","42","コーヒーハウスフェンス","大田区萩中 2-4-X","中野区",,"144-0047","東京都","木下 和明",10352,1994/12/13,1994/12/27,1994/12/12,"ペンギン",4,"果汁100% ピーチ",0,1,0.00,0,1
"洋食ちくさ","名古屋市瑞穂区中根町 5-4-X","名古屋市",,"467-0055","愛知県","25","洋食ちくさ","吹田市竹見台 2-X","吹田市",,"565-0863","大阪府","松沢 彩子",10408,1995/2/8,1995/3/8,1995/2/16,"アカネコ",4,"果汁100% ピーチ",250,50,0.00,12500,11
"洋風居酒屋けい・えっくす","鹿児島市宇宿町 2655-XX","鹿児島市",,"890-0074","鹿児島県","27","洋風居酒屋けい・えっくす","伊丹市池尻 5-XX","伊丹市",,"664-0027","兵庫県","木下 和明",10409,1995/2/9,1995/3/9,1995/2/10,"アカネコ",4,"果汁100% ピーチ",250,1,0.00,250,30
"月野株式会社","仙台市太白区人来田 3-15-XX","仙台市",,"982-0222","宮城県","17","月野株式会社","長野市大豆島 1798-X","長野市",,"381-0022","長野県","東海 誠一",10425,1995/2/24,1995/3/24,1995/2/24,"トマト",4,"果汁100% ピーチ",250,50,0.00,12500,8
"大和マーケット","長野市大豆島 1798-X","長野市",,"381-0022","長野県","9","大和マーケット","横浜市中区千代崎町1-3-5","横浜市","中区","231-0864","神奈川県","田中 秀樹",10447,1995/3/17,1995/4/14,1995/3/16,"トマト",4,"果汁100% ピーチ",250,500,0.00,125000,69
"大宮ユニオン","草加市吉町 3-4-X","草加市",,"340-0017","埼玉県","38","大宮ユニオン","横浜市南区大岡 1-44-X","横浜市",,"232-0061","神奈川県","正門 恵子",10469,1995/4/10,1995/5/8,1995/4/12,"アカネコ",4,"果汁100% ピーチ",250,1,0.00,250,60
"東海道スーパー","習志野市津田沼 2-6-XX","習志野市",,"275-0016","千葉県","10","東海道スーパー","那覇市繁多川 1-21-XX","那覇市",,"902-0071","沖縄県","正門 恵子",10473,1995/4/13,1995/4/27,1995/4/3,"ペンギン",4,"果汁100% ピーチ",100,1000,0.20,80000,16
"食料品店ふじ","浜北市於呂 3482-XX","浜北市",,"434-0015","静岡県","29","食料品店ふじ","粕屋郡志免町御手洗 51-X","粕屋郡",,"811-2206","福岡県","木下 和明",10479,1995/4/19,1995/5/17,1995/4/5,"ペンギン",4,"果汁100% ピーチ",250,50,0.00,12500,709
"小町ストアー","大館市釈迦内字館 30-XX","大館市",,"017-0012","秋田県","11","小町ストアー","富山市朝菜町 2-702-XX","富山市",,"939-8066","富山県","正門 恵子",10508,1995/5/17,1995/6/14,1995/5/4,"トマト",4,"果汁100% ピーチ",0,1,0.00,0,5
"東海道スーパー","習志野市津田沼 2-6-XX","習志野市",,"275-0016","千葉県","10","東海道スーパー","那覇市繁多川 1-21-XX","那覇市",,"902-0071","沖縄県","古田 哲也",10513,1995/5/23,1995/7/4,1995/5/12,"アカネコ",4,"果汁100% ピーチ",198,50,0.00,9900,106
"ジャンボストアー","世田谷区奥沢 1-37-XX","世田谷区",,"158-0083","千葉県","34","ジャンボストアー","広島市西区観音新町 1-16-X","広島市","西区","733-0036","広島県","森上 偉久馬",10541,1995/6/19,1995/7/17,1995/6/5,"アカネコ",4,"果汁100% ピーチ",250,50,0.00,12500,69
"イルカランド","大田区萩中 2-4-X","大田区",,"144-0047","東京都","37","イルカランド","成田市台方 XXX","成田市",,"286-0003","千葉県","正門 恵子",10258,1994/8/17,1994/9/14,1994/8/23,"アカネコ",5,"コーヒーマイルド",17,65,0.20,884,141
"商店せんしょう","伊丹市池尻 5-XX","伊丹市",,"664-0027","兵庫県","20","商店せんしょう","札幌市手稲区前田 4-9-3-XX","札幌市","手稲区前田","006-0814","北海道","松沢 彩子",10262,1994/8/22,1994/9/19,1994/8/25,"ペンギン",5,"コーヒーマイルド",17,12,0.20,163,48
"北冷マート","札幌市中央区北5条西 12-2-19-XXX","札幌市",,"060-0005","北海道","12","北冷マート","津市一身田中野 19-X","津市",,"514-0112","三重県","松沢 彩子",10276,1994/9/8,1994/9/22,1994/9/9,"ペンギン",5,"コーヒーマイルド",100,500,0.00,50000,14
"コンビニエンス北風","横浜市南区大岡 1-44-X","横浜市",,"232-0061","神奈川県","32","コンビニエンス北風","春日井市味美白山町 1-9-X","春日井市",,"486-0969","愛知県","松沢 彩子",10279,1994/9/13,1994/10/11,1994/9/16,"トマト",5,"コーヒーマイルド",100,500,0.00,50000,26
"小料理なんごく","那覇市繁多川 1-21-XX","那覇市",,"902-0071","沖縄県","2","小料理なんごく","札幌市中央区北5条西 12-2-19-XXX","札幌市",,"060-0005","北海道","松沢 彩子",10301,1994/10/10,1994/11/7,1994/10/14,"トマト",5,"コーヒーマイルド",100,10,0.00,1000,45
"食所あんどう","粕屋郡志免町御手洗 51-X","粕屋郡",,"811-2206","福岡県","22","食所あんどう","多賀城市笠神 3-2-X","多賀城市",,"985-0831","宮城県","正門 恵子",10325,1994/11/9,1994/11/23,1994/11/11,"ペンギン",5,"コーヒーマイルド",100,1,0.00,100,65
"イルカランド","大田区萩中 2-4-X","大田区",,"144-0047","東京都","37","イルカランド","成田市台方 XXX","成田市",,"286-0003","千葉県","森上 偉久馬",10414,1995/2/14,1995/3/14,1995/2/13,"ペンギン",5,"コーヒーマイルド",100,10,0.00,1000,21
"夷そば","鹿児島市宇宿 2-14-X","鹿児島市",,"890-0073","鹿児島県","30","夷そば","西春日井郡豊山町豊場新田 17-X","西春日井郡",,"480-0202","愛知県","松沢 彩子",10421,1995/2/21,1995/4/4,1995/2/15,"アカネコ",5,"コーヒーマイルド",150,5,0.00,750,99
"東海道スーパー","習志野市津田沼 2-6-XX","習志野市",,"275-0016","千葉県","10","東海道スーパー","那覇市繁多川 1-21-XX","那覇市",,"902-0071","沖縄県","木下 和明",10433,1995/3/6,1995/4/3,1995/3/3,"ペンギン",5,"コーヒーマイルド",100,5,0.00,500,74
"食所あんどう","粕屋郡志免町御手洗 51-X","粕屋郡",,"811-2206","福岡県","22","食所あんどう","多賀城市笠神 3-2-X","多賀城市",,"985-0831","宮城県","松沢 彩子",10472,1995/4/12,1995/5/10,1995/3/28,"アカネコ",5,"コーヒーマイルド",100,100,0.00,10000,4
"食料品店ふじ","浜北市於呂 3482-XX","浜北市",,"434-0015","静岡県","29","食料品店ふじ","粕屋郡志免町御手洗 51-X","粕屋郡",,"811-2206","福岡県","木下 和明",10479,1995/4/19,1995/5/17,1995/4/5,"ペンギン",5,"コーヒーマイルド",100,100,0.00,10000,709
"居酒屋ななべえ","那覇市繁多川 1-21-XX","那覇市",,"902-0071","京都府","5","居酒屋ななべえ","世田谷区奥沢 1-37-XX","世田谷区",,"158-0083","東京都","明山 典央",10529,1995/6/7,1995/7/5,1995/6/13,"トマト",5,"コーヒーマイルド",0,1,0.00,0,67
"北冷マート","札幌市中央区北5条西 12-2-19-XXX","札幌市",,"060-0005","北海道","12","北冷マート","津市一身田中野 19-X","津市",,"514-0112","三重県","松沢 彩子",10276,1994/9/8,1994/9/22,1994/9/9,"ペンギン",6,"コーヒービター",100,500,0.00,50000,14
"葉薄ふぁん","吹田市竹見台 2-X","吹田市",,"565-0863","大阪府","18","葉薄ふぁん","習志野市津田沼 2-6-XX","習志野市",,"275-0016","千葉県","古田 哲也",10289,1994/9/26,1994/10/24,1994/9/28,"ペンギン",6,"コーヒービター",100,1,0.00,100,23
"小料理なんごく","那覇市繁多川 1-21-XX","那覇市",,"902-0071","沖縄県","2","小料理なんごく","札幌市中央区北5条西 12-2-19-XXX","札幌市",,"060-0005","北海道","松沢 彩子",10301,1994/10/10,1994/11/7,1994/10/14,"トマト",6,"コーヒービター",100,10,0.00,1000,45
"大和マーケット","長野市大豆島 1798-X","長野市",,"381-0022","長野県","9","大和マーケット","横浜市中区千代崎町1-3-5","横浜市","中区","231-0864","神奈川県","古田 哲也",10319,1994/11/2,1994/11/30,1994/11/3,"ペンギン",6,"コーヒービター",100,100,0.00,10000,65
"洋食ちくさ","名古屋市瑞穂区中根町 5-4-X","名古屋",,"467-0055","愛知県","25","洋食ちくさ","吹田市竹見台 2-X","吹田市",,"565-0863","大阪府","森上 偉久馬",10327,1994/11/11,1994/12/9,1994/11/14,"アカネコ",6,"コーヒービター",0,1,0.00,0,63
"健食弁当株式会社","世田谷区奥沢 1-37-XX","世田谷区",,"158-0083","東京都","45","健食弁当株式会社","杉並区成田東 5-35-XX","杉並区",,"166-0015","東京都","明山 典央",10359,1994/12/22,1995/1/19,1994/12/19,"ペンギン",6,"コーヒービター",0,1,0.00,0,288
"イルカランド","大田区萩中 2-4-X","大田区",,"144-0047","東京都","37","イルカランド","成田市台方 XXX","成田市",,"286-0003","千葉県","森上 偉久馬",10414,1995/2/14,1995/3/14,1995/2/13,"ペンギン",6,"コーヒービター",120,5,0.00,600,21
"夷そば","鹿児島市宇宿 2-14-X","鹿児島市",,"890-0073","鹿児島県","30","夷そば","西春日井郡豊山町豊場新田 17-X","西春日井郡",,"480-0202","愛知県","松沢 彩子",10421,1995/2/21,1995/4/4,1995/2/15,"アカネコ",6,"コーヒービター",150,5,0.00,750,99
"酒蔵でん","板野郡藍住町住吉 5-XXX","板野郡","住吉","771-1264","徳島県","6","酒蔵でん","志木市幸町 1-8-40-XXXX","志木市",,"353-0005","埼玉県","田中 秀樹",10431,1995/3/2,1995/3/16,1995/2/27,"トマト",6,"コーヒービター",0,1,0.00,0,44
"ジャンボストアー","成田市加良部 5-3-X","成田市",,"286-0036","千葉県","34","ジャンボストアー","広島市西区観音新町 1-16-X","広島市","西区","733-0036","広島県","高橋 真紀",10449,1995/3/21,1995/4/18,1995/3/14,"トマト",6,"コーヒービター",100,5,0.00,500,53
"食料品店ふじ","浜北市於呂 3482-XX","浜北市",,"434-0015","静岡県","29","食料品店ふじ","粕屋郡志免町御手洗 51-X","粕屋郡",,"811-2206","福岡県","木下 和明",10479,1995/4/19,1995/5/17,1995/4/5,"ペンギン",6,"コーヒービター",100,100,0.00,10000,709
"洋風居酒屋けい・えっくす","鹿児島市宇宿町 2655-XX","鹿児島市",,"890-0074","鹿児島県","27","洋風居酒屋けい・えっくす","伊丹市池尻 5-XX","伊丹市",,"664-0027","兵庫県","木下 和明",10495,1995/5/4,1995/6/1,1995/4/25,"ペンギン",6,"コーヒービター",0,1,0.00,0,5
"商店せんしょう","伊丹市池尻 5-XX","伊丹市",,"664-0027","兵庫県","20","商店せんしょう","札幌市手稲区前田 4-9-3-XX","札幌市","手稲区前田","006-0814","北海道","松沢 彩子",10262,1994/8/22,1994/9/19,1994/8/25,"ペンギン",7,"コーヒーミルク",24,15,0.00,360,48
"自然食なちゅらる","福岡市博多区東平尾 2-10-XX","福岡市",,"816-0053","福岡県","23","自然食なちゅらる","仙台市宮城野区古宮 4-X","仙台市",,"983-0000","宮城県","東海 誠一",10271,1994/4/1,1994/9/29,1994/9/30,"トマト",7,"コーヒーミルク",150,5,0.00,750,5
"北冷マート","札幌市中央区北5条西 12-2-19-XXX","札幌市",,"060-0005","北海道","12","北冷マート","津市一身田中野 19-X","津市",,"514-0112","三重県","松沢 彩子",10276,1994/9/8,1994/9/22,1994/9/9,"ペンギン",7,"コーヒーミルク",100,300,0.00,30000,14
"笹の葉食料品店","横浜市緑区千草台 7-X","横浜市","緑区","226-0000","神奈川県","33","笹の葉食料品店","鹿児島市宇宿町 2655-XX","鹿児島市","白山町","890-0074","鹿児島県","田中 秀樹",10282,1994/9/15,1994/10/13,1994/10/13,"アカネコ",7,"コーヒーミルク",0,1,0.00,0,13
"夷そば","鹿児島市宇宿 2-14-X","鹿児島市",,"890-0073","鹿児島県","30","夷そば","西春日井郡豊山町豊場新田 17-X","西春日井郡",,"480-0202","愛知県","松沢 彩子",10421,1995/2/21,1995/4/4,1995/2/15,"アカネコ",7,"コーヒーミルク",150,10,0.00,1500,99
"食所あんどう","粕屋郡志免町御手洗 51-X","粕屋郡",,"811-2206","福岡県","22","食所あんどう","多賀城市笠神 3-2-X","多賀城市",,"985-0831","宮城県","松沢 彩子",10472,1995/4/12,1995/5/10,1995/3/28,"アカネコ",7,"コーヒーミルク",100,100,0.00,10000,4
"食料品店ふじ","浜北市於呂 3482-XX","浜北市",,"434-0015","静岡県","29","食料品店ふじ","粕屋郡志免町御手洗 51-X","粕屋郡",,"811-2206","福岡県","木下 和明",10479,1995/4/19,1995/5/17,1995/4/5,"ペンギン",7,"コーヒーミルク",100,100,0.00,10000,709
"大和マーケット","長野市大豆島 1798-X","長野市",,"381-0022","長野県","9","大和マーケット","横浜市中区千代崎町1-3-5","横浜市","中区","231-0864","神奈川県","田中 秀樹",10267,1994/8/29,1994/9/26,1994/9/6,"アカネコ",8,"ピリピリ ビール",500,300,0.00,150000,209
"コンビニエンス北風","横浜市南区大岡 1-44-X","横浜市",,"232-0061","神奈川県","32","コンビニエンス北風","春日井市味美白山町 1-9-X","春日井市",,"486-0969","愛知県","松沢 彩子",10279,1994/9/13,1994/10/11,1994/9/16,"トマト",8,"ピリピリ ビール",450,50,0.00,22500,26
"海鮮料理くじら","津市一身田中野 19-X","津市",,"514-0112","三重県","4","海鮮料理くじら","成田市加良部 5-3-X","千葉県",,"286-0036","千葉県","田中 秀樹",10288,1994/9/23,1994/10/21,1994/9/30,"アカネコ",8,"ピリピリ ビール",500,10,0.00,5000,7
"海鮮料理くじら","津市一身田中野 19-X","津市",,"514-0112","三重県","4","海鮮料理くじら","成田市加良部 5-3-X","千葉県",,"286-0036","千葉県","正門 恵子",10316,1994/10/28,1994/11/25,1994/11/3,"ペンギン",8,"ピリピリ ビール",450,100,0.00,45000,150
"雪花ガーデン","札幌市豊平区中の島一条2丁目 4-XX","札幌市",,"062-0921","北海道","14","雪花ガーデン","板野郡藍住町住吉 5-XXX","板野郡",,"771-1264","徳島県","木下 和明",10330,1994/11/16,1994/12/14,1994/11/14,"アカネコ",8,"ピリピリ ビール",450,500,0.00,225000,13
"城元株式会社","多賀城市笠神 3-2-X","多賀城市",,"985-0831","宮城県","15","城元株式会社","大田区大森東 1-35-X","大田区",,"143-0012","東京都","高橋 真紀",10331,1994/11/16,1994/12/28,1994/11/14,"アカネコ",8,"ピリピリ ビール",50,500,0.00,25000,10
"甘味喫茶ダイ","逗子市山の根 3-15-XX","逗子市",,"249-0002","神奈川県","43","甘味喫茶ダイ","草加市吉町 3-4-X","草加市",,"340-0017","埼玉県","田中 秀樹",10360,1994/12/23,1995/1/20,1994/12/26,"ペンギン",8,"ピリピリ ビール",0,1,0.00,0,132
"商店せんしょう","伊丹市池尻 5-XX","伊丹市",,"664-0027","兵庫県","20","商店せんしょう","札幌市手稲区前田 4-9-3-XX","札幌市","手稲区前田","006-0814","北海道","正門 恵子",10376,1995/1/9,1995/2/6,1995/1/2,"トマト",8,"ピリピリ ビール",500,10,0.00,5000,20
"東海道スーパー","習志野市津田沼 2-6-XX","習志野市",,"275-0016","千葉県","10","東海道スーパー","那覇市繁多川 1-21-XX","那覇市",,"902-0071","沖縄県","東海 誠一",10395,1995/1/26,1995/2/23,1995/1/20,"アカネコ",8,"ピリピリ ビール",450,5,0.00,2250,184
