52                            うす味ウインナー                      24                            7                             400g×30束                      200                           38                            0                             25                            0 
53                            ベターローストハム                     24                            6                             50g×5本                        3500                          0                             0                             0                             1 
54                            ベタープレスハム                      25                            6                             50g×5本                        2500                          21                            0                             10                            0 
55                            ベター生ハム                        25                            6                             50g×5本                        100                           115                           0                             20                            0 
56                            特製サラミ                         26                            6                             400g×30束                      400                           21                            10                            30                            0 
57                            和風ハンバーグレトルト                   26                            6                             400g×30束                      700                           36                            0                             20                            0 
58                            照焼きミートボール                     27                            7                             150g×20袋                      800                           62                            0                             20                            0 
59                            ミックスハム                        28                            7                             140g×3個                       900                           79                            0                             0                             0 
60                            ミートバー                         28                            7                             140g×3個                       1000                          19                            0                             0                             0 
61                            もめんどうふ特上                      29                            7                             150g×20本                      40                            113                           0                             25                            0 
62                            きぬごしどうふ特上                     29                            7                             50g×20個                       400                           17                            0                             0                             0 
63                            冷凍ミックスベジタブル                   7                             7                             150g×20本                      500                           24                            0                             5                             0 
64                            冷凍クリームコロッケ                    12                            7                             400g×30束                      15                            22                            80                            30                            0 
65                            冷凍コーンクリームコロッケ                 2                             7                             150g×20本                      150                           76                            0                             0                             0 
66                            冷凍ポテトコロッケ                     2                             7                             150g×20本                      1500                          4                             100                           20                            0 
67                            冷凍枝豆                          16                            7                             200g×12缶                      550                           52                            0                             10                            0 
68                            冷凍やきおにぎり                      8                             7                             50g×20個                       460                           6                             10                            15                            0 
69                            乾燥バナナ                         15                            7                             120g×10個                      650                           26                            0                             15                            0 
70                            乾燥アップル                        7                             7                             190g×12缶                      148                           15                            10                            30                            0 
71                            特選味のり                         15                            7                             120g×10個                      850                           26                            0                             0                             0 
72                            北海道昆布                         14                            7                             120g×50個                      720                           14                            0                             0                             0 
73                            やきいかするめくん                     17                            7                             20g×50袋                       145                           101                           0                             5                             0 
74                            食卓わかめ                         4                             7                             500g                          950                           4                             20                            5                             0 
75                            ふりかけかつお風味                     12                            7                             190g×12缶                      145                           125                           0                             25                            0 
76                            ふりかけ鮭風味                       23                            7                             190g×20缶                      685                           57                            0                             20                            0 
77                            大陸サーモン                        12                            8                             150g×20本                      244                           32                            0                             15                            0 
80                            特選にぼし                         16                            7                             400g×30束                      20                            0                             0                             0                             0 
81                            本がつお特上                        21                            6                             50g×5本                        144                           0                             0                             0                             1 
82                            ころもはんぺん                       19                            7                             20枚×20袋                       100                           0                             0                             0                             0 
84                            コーンフレークチョコ                    30                            3                             20枚×20袋                       500                           100                           50                            50                            0 
